0,1,2,3,4,5,6,7
2020-10-23T11:55:25.183121+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454123655,mp3,eqppxr
2020-10-23T11:55:26.200921+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454124672,mp4,eqppxr
2020-10-23T11:55:26.980314+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454125456,mp3,eqppxr
2020-10-23T11:55:27.548361+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454126024,mp4,eqppxr
2020-10-23T11:55:27.858772+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454126336,mp4,eqppxr
2020-10-23T11:55:28.165705+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454126644,mp4,eqppxr
2020-10-23T11:55:29.134833+00:00,app[web.1]:,AB_TESTING:,C,1603454127611,0,0,eqppxr
2020-10-23T12:05:20.387046+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,0,0,hdvgwnm
2020-10-23T12:05:41.136453+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454740568,mp1,hdvgwnm
2020-10-23T12:05:41.643455+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454741517,mp2,hdvgwnm
2020-10-23T12:05:43.809606+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454743225,mp4,hdvgwnm
2020-10-23T12:05:44.318257+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454744182,mp3,hdvgwnm
2020-10-23T12:05:45.219178+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454745083,mp2,hdvgwnm
2020-10-23T12:05:46.627320+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454746497,mp4,hdvgwnm
2020-10-23T12:05:47.530453+00:00,app[web.1]:,AB_TESTING:,A,1603454720072,1603454747404,mp4,hdvgwnm
2020-10-23T12:05:48.873724+00:00,app[web.1]:,AB_TESTING:,C,1603454748747,0,0,hdvgwnm
2020-10-23T12:05:51.589068+00:00,app[web.1]:,AB_TESTING:,A,1603454751457,0,0,hdvgwnm
2020-10-23T12:49:03.536837+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,0,0,xixezideu
2020-10-23T12:49:09.675266+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457348928,mp4,xixezideu
